condition,n_trials,m1_deference_rate,m1_ci_low,m1_ci_high,m2_deference_rate,m2_ci_low,m2_ci_high,asymmetry,asymmetry_ci_low,asymmetry_ci_high
different_equal,498,0.7570281124497992,0.717485975701075,0.7926352896913638,0.7791164658634538,0.7406220005013452,0.8133378111357564,0.02208835341365467,0.008032128514056214,0.0381526104417671
different_none,499,0.7575150300601202,0.7180358780056836,0.7930596084379719,0.7535070140280561,0.7138520802052939,0.7892886126750362,-0.004008016032064132,-0.02004008016032066,0.012024048096192397
different_reversed,498,0.7710843373493976,0.7321925972070504,0.8058259248865376,0.7409638554216867,0.7007445738781947,0.7774941124272169,-0.030120481927710885,-0.04618473895582331,-0.016064257028112428
different_standard,499,0.37074148296593185,0.32950086091578995,0.4139570466669666,0.7755511022044088,0.7369186175998107,0.8099734398788089,0.40480961923847697,0.3627254509018036,0.4468937875751503
same_equal,497,0.4245472837022133,0.38183430888690695,0.46841770464128896,0.44064386317907445,0.39761709370643306,0.48458115693574777,0.01609657947686116,0.002012072434607659,0.030181086519114664
same_standard,498,0.24096385542168675,0.20547694259236915,0.28041646962931355,0.5923694779116466,0.5486639221844307,0.634660907565977,0.3514056224899599,0.3112449799196787,0.3935742971887551
