condition,n_trials,m1_deference_rate,m1_ci_low,m1_ci_high,m2_deference_rate,m2_ci_low,m2_ci_high,asymmetry,asymmetry_ci_low,asymmetry_ci_high
different_equal,49,0.6530612244897959,0.5131119428697273,0.7707560716546105,0.7551020408163265,0.6191368101239605,0.8539765474166023,0.10204081632653061,0.0,0.20408163265306123
different_none,50,0.68,0.5418970269185591,0.7924178373934315,0.7,0.5624964953554659,0.8089644649911905,0.019999999999999907,0.0,0.06000000000000005
different_reversed,50,0.8,0.6696289406777458,0.8875624998422389,0.86,0.7381380628941445,0.930491665729837,0.05999999999999994,0.0,0.14
different_standard,50,0.64,0.5014101687611268,0.7586125034815325,0.78,0.6475845041874633,0.8724608402978558,0.14,0.05999999999999994,0.24
same_equal,50,0.5,0.3664451431682858,0.6335548568317142,0.46,0.3296965219222434,0.5960112860084252,-0.03999999999999998,-0.15999999999999998,0.06000000000000005
same_standard,50,0.56,0.4230602802165686,0.6883780078874284,0.62,0.48150446930992963,0.741372106898064,0.05999999999999994,-0.040000000000000036,0.16000000000000003
